,identifiant_unique,ville_code_postal
5940,laborie_lea_151063_reparation_0686936813,COUFOULEUX 81800
5941,stc_idf_176503_reparation,AULNAY SOUS BOIS 93600
5942,neocrome_4537_reparation_0678812733,RENAGE 38140
5943,boudoir_des_createurs_178014_reparation_0688954605,LA CIOTAT 13600
5944,mme_mc_lean_angelia_171530_reparation_0625930880,FAUX LA MONTAGNE 23340
5945,ariane_couture_125452_reparation_0613267559,LA COUTURE BOUSSEY 27750
5946,meubles_balanca_165014_reparation_0553620046,NEGRONDES 24460
5947,a_l_cordonnerie_211608_reparation,PARIS 19 75019
5948,alexia_roche_223637_reparation_0631994002,ROIFFIEUX 07100
5949,mr_leforestier_jean_pierre_161241_reparation,ROYAN 17200
5950,le_bras_154110_reparation_0632646977,QUIMPER 29000
5951,mme_ignatovitch_odile_95735_reparation,LANDREVILLE 10110
5952,favero_sandrine_201189_reparation_0643094040,LA MARRE 39210
5953,m_veillat_thibault_151244_reparation_0658957596,MILHAUD 30540
5954,le_coin_dhiver_51191_reparation,BESSANS 73480
5955,horlogerie_americo_134598_reparation_0662557691,CLERMONT FERRAND 63000
5956,mme_sgard_emilie_131640_reparation_0664293665,LE BEAUSSET 83330
5957,m_buzzo_richard_148664_reparation_0466295190,NIMES 30000
5958,la_fee_des_fils_111570_reparation_0787243650,VIRIAT 01440
5959,axen_informatique_3867_reparation_0475054538,ST PAUL LES ROMANS 26750
5960,noune_couture_202558_reparation_0637383067,MOUANS SARTOUX 06370
5961,aden_seduction_163038_reparation_0559033943,BAYONNE 64100
5962,heliographe_108481_reparation,VALLAURIS 06220
5963,dessiaume_philippe_136494_reparation_0238456405,CLERY ST ANDRE 45370
5964,dereux_antoine_166291_reparation,BORDEAUX 33800
5965,mme_grenier_laura_150088_reparation_0661094023,GALLARGUES LE MONTUEUX 30660
5966,cem67_186978_reparation,SELESTAT 67600
5967,m_tissier_hugues_200110_reparation_0684757363,GY L EVEQUE 89580
5968,au_tape_clous_120440_reparation_0388986369,ERSTEIN 67150
5969,maillard_jeanluc_198106_reparation_0381932898,VIEUX CHARMONT 25600
5970,guerrero_joel_162241_reparation_0972432867,MERIGNAC 33700
5971,m_magalhaes_gomes_anthony_134683_reparation,NEUVES MAISONS 54230
5972,yann_main_doeuvre_206605_reparation_0622428174,SAINT-JORIOZ 74410
5973,poteaux_arnaud_165670_reparation_0556613897,PELLEGRUE 33790
5974,hart_stephane_164521_reparation,TALENCE 33400
5975,pouquet_christian_166560_reparation_0553552146,ANGOISSE 24270
5976,mme_varas_jeniffer_192843_reparation,AMIENS 80000
5977,mme_lamarche_carole_100657_reparation,ST OMER 62500
5978,bulteau_nancy_110218_reparation_0644284445,STE FOY 85150
5979,les_prestiges_de_laetideco_192744_reparation_0635100519,COURRIERES 62710
5980,dtdt_de_la_hautecorse_vestiaire_58288_sinoe_0495653842,CALVI 20260
5981,transphc_55401_reparation_0321460999,LES ATTAQUES 62730
5982,soluce_pc_22_155105_reparation,PLEMY 22150
5983,aprime_108604_reparation_0660463205,MARSEILLE--6E--ARRONDISSEMENT 13006
5984,hydrauchap_184469_reparation_0678017799,SEULLINE 14260
5985,gabrielli_185632_reparation,LYON 03 69003
5986,clara_jasmine_216194_reparation_0664968478,PARIS 05 75005
5987,bardot_jean_105116_reparation_0387913287,LONGEVILLE LES ST AVOLD 57740
5988,guiche_nabila_218229_reparation_0627239146,LOGNES 77185
5989,fil_au_chas___mtbe_164757_reparation_0620905980,POMPIGNAC 33370
5990,essdee_124607_reparation,JOUY SUR MORIN 77320
5991,tz__imaintenance__zdiag_131614_reparation_0767434162,BULLY 69210
5992,bella_ciao_156067_reparation,RENNES 35000
5993,ploton_boue_christophe_159898_reparation_0615740424,LOUPES 33370
5994,jeff_ross_169610_reparation_0604055986,AURIOLLES 33790
5995,mme_duculty_viviane_190801_reparation,MALEMORT 19360
5996,afi_maintenance_212704_reparation_0630525278,FOSSES 95470
5997,atelier_de_lutherie_sophie_viart_173283_reparation_0555119909,LIMOGES 87000
5998,pierreleandre_michael_101820_reparation_0696319543,LE MARIN 97290
5999,amadi_kyeremeh_hellen_216277_reparation_0647596599,BOIS COLOMBES 92270
6000,brunet_laurent_167513_reparation,BIDACHE 64520
6001,latelier_dalexandra_173497_reparation_0689550413,VILLEDOUX 17230
6002,mme_aguila_martine_31909_reparation_0665411492_0982554011,PERTUIS 84120
6003,bazar_kely_132371_reparation_0649658142,PFAFFENHOFFEN 67350
6004,les_doigts_de_fee_166885_reparation,ROCHEFORT 17300
6005,nickels_damien_145128_reparation_0659484651,SABADEL LATRONQUIERE 46210
6006,le_souder_philippe_67137_reparation_0251448191,BEAUFOU 85170
6007,video_center_54_222313_reparation_0498106666,FREJUS 83600
6008,parc__jardin_176244_reparation,ROQUEVAIRE 13360
6009,laborde_laurent_163670_reparation_0675439489,BENEJACQ 64800
6010,popovic_bekir_201203_reparation_0628296454,BESANCON 25000
6011,bois__ficelle_108788_reparation,JUAN LES PINS 06160
6012,iris_absinthe_212746_reparation,PARIS 20 75020
6013,manos_arte_sana_187372_reparation_0788254082,LUC EN DIOIS 26310
6014,les_petites_fantaisies_de_betty_195373_reparation_0950000714,RIBEMONT 02240
6015,le_meur_vincent_176876_reparation_0233650299,ECHALOU 61440
6016,angot_denise_118460_reparation_0243088719,AMBRIERES LES VALLEES 53300
6017,rely_fee_cousette_183889_reparation_0680370613,BRISSAC LOIRE AUBANCE 49320
6018,lc_vitimotoculture_124422_reparation,DORMANS 51700
6019,eco_hardware_france_1841_initiatives_locales,CHAMPIGNY SUR MARNE 94500
6020,tournerie_de_largenton_191786_reparation_0549654266,ARGENTONNAY 79150
6021,pesenti_196105_reparation,HAUTS DE BIENNE 39400
6022,sabbagh_mondher_209104_reparation,PARIS 11 75011
6023,callens_laure_214017_reparation_0613515664,PARIS 09 75009
6024,monsieur_adam_nettoie_et_protege_votre_pavillon_155817_reparation_0603883379,RENNES 35000
6025,les_creations_de_sabie_204946_reparation_0609676604,BETTANT 01500
6026,isp_conseils_informatique_111271_reparation_0240514624,NOZAY 44170
6027,desperlesetdesbijoux_177769_reparation,MARSEILLE--9E--ARRONDISSEMENT 13009
6028,spot_literie_197875_reparation_0380466358,QUETIGNY 21800
6029,cordonnerie_le_perreux_218169_reparation,LE PERREUX SUR MARNE 94170
6030,3_des_220495_reparation_0143609034,LES LILAS 93260
6031,peaud_camille_117795_reparation,LA GENETOUZE 85190
6032,histoire_de_fauteuil_159635_reparation_0673628298,CASTILLONNES 47330
6033,informatique_terminaux_point_de_159923_reparation,ROYAN 17200
6034,ncr_presta_131531_reparation_0617388268,CHAZAY D AZERGUES 69380
6035,donga_paulo_215100_reparation_0627592417,COLOMBES 92700
6036,caroline_petitjean_157098_reparation,SAINT-JEAN-DU-DOIGT 29630
6037,depannage_tele_video_sarl_160506_reparation_0555180020,BRIVE LA GAILLARDE 19100
6038,leboulenger_stephane_210378_reparation_0160550737,BRANSLES 77620
6039,mme_dargent_nadine_58463_reparation,BOUCHOIR 80910
6040,le_docteur_du_cycle_125746_reparation_0663676690,LE BEC HELLOUIN 27800
6041,prima_informatique_109776_reparation_0647346249,BEAUMONT MONTEUX 26600
6042,sy_mohammadou_218430_reparation,OSNY 95520
6043,netalliance_18563_reparation,FREJUS 83600
6044,by_nanoo_165093_reparation,TALENCE 33400
6045,eurl_toussaint_208154_reparation,LA RICAMARIE 42150
6046,theurier_christofer_213312_reparation_0661659507,DRAVEIL 91210
6047,cuir_et_bois_70_203763_reparation_0616433184,BOURGUIGNON LES MOREY 70120
6048,cvms_comptoir_de_vente_de_materiel_et_services_163540_reparation_0556619700,GORNAC 33540
6049,vandecasteele_patrick_jacques_yves_cornil_145923_reparation,RIVESALTES 66600
6050,philibert_service_7641_reparation_0476930677,VOIRON 38500
6051,creabois_177628_reparation_0492340008,SISTERON 04200
6052,les_ruchers_du_lison_195836_reparation,NANS SOUS STE ANNE 25330
6053,85_compagnie_109899_reparation_0670708326,LE BIOT 74430
6054,bernard_jeremie_183494_reparation_0608747583,CRILLON LE BRAVE 84410
6055,m_thijsen_percy_150610_reparation_0645003822,LA BRUGUIERE 30580
6056,les_jardins_d_edouard_222807_reparation_0620282906,CHATEAUGAY 63119
6057,relook_my_14147_reparation,TRETS 13530
6058,sall_ayan_148795_reparation_0618156227,TOULOUSE 31400
6059,monten_selle_104617_reparation_0662064169,MORNANT 69440
6060,lamort_stephane_68604_reparation,ANGERS 49100
6061,toutes_coutures_55120_reparation,WATTRELOS 59150
6062,de_plumes_et_de_pierres_205238_reparation_0678150126,VITROLLES 13127
6063,real_isa_176274_reparation_0683013742,ARCONSAT 63250
6064,pagis_claude_68702_reparation_0241941541,OMBREE D'ANJOU 49520
6065,cml_saalto_124420_reparation_0326495031,SILLERY 51500
6066,magafone_67029_reparation_0343278946,LE MANS 72000
6067,mme_verdejo_pascale_159797_reparation_0681396115,NIORT 79000
6068,lattrape_reve_184549_reparation,BOIS JEROME ST OUEN 27620
6069,mme_zimmermann_amelie_95440_reparation,L ECAILLE 08300
6070,dautet_anne_217724_reparation_0661543550,PARIS 01 75001
6071,element_bois_12073_reparation,ST PRIEST DES CHAMPS 63640
6072,chablais_telecom_52788_reparation,THONON-LES-BAINS 74200
6073,buro___94306_reparation_0388905660,HAGUENAU 67500
6074,technomade_143801_reparation_0629868030,FABREGUES 34690
6075,hauts_en_couleurs_197161_reparation,ARBOIS 39600
6076,la_chtite_confection_196177_reparation_0633534158,CLUNY 71250
6077,dckrenovation_176595_reparation_0634458001,THONON-LES-BAINS 74200
6078,sarl_finitech_100556_reparation_0320037282,TOURCOING 59200
6079,nidyanet_grenoble_206565_reparation_0611551635,GRENOBLE 38000
6080,pasquereau_charlene_110934_reparation,NALLIERS 85370
6081,xifumiak_207166_reparation_0687284979,TROIS VILLES 64470
6082,lgt_cycles_184952_reparation_0233756585,AGNEAUX 50180
6083,bourel_sylvie_204381_reparation_0650901214,ANDARD 49800
6084,wewantwood_121856_reparation_0235756091,NOTRE DAME DE BONDEVILLE 76960
6085,la_ptite_cordo_157056_reparation_0633057295,LA GACILLY 56200
6086,les_mains_de_babou_202647_reparation_0622247548,ROUSSET 13790
6087,deslandes_karine_110298_reparation,LYS HAUT LAYON 49310
6088,feeparlanature_201167_reparation_0649156782,LUXEUIL LES BAINS 70300
6089,mme_lefebvre_sandy_148058_reparation_0466798091,LAUDUN L ARDOISE 30290
6090,viviane_guile_156087_reparation_0675182092,RENNES 35200
6091,adidi_anais_177138_reparation_0670248882,FLERS 61100
6092,ulmaison_de_marignane_vestiaire_48847_sinoe_0442885151,MARIGNANE 13700
6093,sas_abv_58436_reparation_0322268370,FEUQUIERES EN VIMEU 80210
6094,thomas_christophe_67849_reparation_0251340146,LE GIROUARD 85150
6095,lecluze_hubert_184657_reparation_0233453077,SAVIGNY 50210
6096,clic_et_cie_206106_reparation_0686128612,LE HAVRE 76600
6097,phoenix_mobile_149341_reparation_0614642727,TOULOUSE 31300
6098,elm_patterns_192469_reparation,ORCHIES 59310
6099,my_xuan_3269_reparation_0478589643,LYON 07 69007
6100,barbarin_frederic_67054_reparation_0251561982,THIRE 85210
6101,samuel_giraud_tapissier_3152_reparation_0478032650,VILLEURBANNE 69100
6102,mme_collin_vanessa_124370_reparation,ST AMAND SUR FION 51300
6103,baby_world_194635_reparation_0616735850,ROUCOURT 59169
6104,miroslav_kovaricek_ebeniste_10887_reparation_0650513259,DOMPIERRE SUR BESBRE 03290
6105,art_mediterranee_18938_reparation,COGOLIN 83310
6106,juillien_159254_reparation_0545657774,MORNAC 16600
6107,motoculture_herve_153258_reparation,PLAINTEL 22940
6108,bel_air_musique_164864_reparation,BORDEAUX 33000
6109,amart_201315_reparation_0623006030,BROIN 21250
6110,entre_2_meubles_206398_reparation_0661253048,BERNIERES SUR MER 14990
6111,id_system_70942_reparation,ANCENIS SAINT GEREON 44150
6112,au_bois_de_montagne_185342_reparation,GROISY 74570
6113,michel_gatti_103921_reparation_0612161075,NYONS 26110
6114,les_passantes_45708_sinoe_0553353543,PÉRIGUEUX 24000
6115,mme_innocenti_marie_pierre_177713_reparation_0681350671,AGAY 83530
6116,a_2_mains_222976_reparation_0682149133,ANNECY 74000
6117,bourdon_karine_138891_reparation_0631196981,SANTEAU 45170
6118,borely_loisirs_125266_reparation_0491226480,MARSEILLE--8E--ARRONDISSEMENT 13008
6119,sarl_lambert_martial_197755_reparation_0381640662,MAICHE 25120
6120,cordonnerie_upper_shoes_187442_reparation,LYON 02 69002
6121,de_lebene_au_sycomore_153403_reparation_0611919222,PLOZEVET 29710
6122,m_taildeman_nicolas_106029_reparation_0670434496,BOULANGE 57655
6123,valmeinier_sports_8392_reparation_0479592091,VALMEINIER 73450
6124,m_dutrieux_corentin_56798_reparation,TOURCOING 59200
6125,sayah_abderrahmane_215341_reparation_0652871568,SEVRAN 93270
6126,maire_vincent_122887_reparation_0610199531,MONTMELAS ST SORLIN 69640
6127,m_velut_bruno_192059_reparation,ST PARRES AUX TERTRES 10410
6128,rf_multibois_223297_reparation_0769737754,TREVOUX 01600
6129,perrin_alain_11943_reparation_0473956365,MARSAC EN LIVRADOIS 63940
6130,the_a_la_rose_et_creations_170760_reparation_0556251319,GAJAC 33430
6131,mobile_apt_182557_reparation_0611817622,APT 84400
6132,fbs_music_202821_reparation_0680704519,LES ADRETS 38190
6133,bernert_carole_209603_reparation_0146261864,SEVRES 92310
6134,mme_bertrand_laetitia_192152_reparation,MIRECOURT 88500
6135,m_dauber_yves_194709_reparation_0669037820,EMMERIN 59320
6136,m_sainterose_marc_200784_reparation_0973626276,SENS 89100
6137,ulmaison_des_herbiers_vestiboutique_47738_sinoe_0251929508,LES HERBIERS 85500
6138,analog_performance_168076_reparation_0689142576,ST LOUBES 33450
6139,desforges_marion_213884_reparation_0628779404,PARIS 15 75015
6140,ambiance_sauge_paysage_116602_reparation_0769484698,ALLINGES 74200
6141,kejo_210663_reparation_0148776392,FONTENAY SOUS BOIS 94120
6142,cadre_walter_132239_reparation,MERKWILLER PECHELBRONN 67250
6143,a_toi_de_jouhet_191830_reparation_0645031394,JOUHET 86500
6144,ipsum2i_211431_reparation,NOISY LE GRAND 93160
6145,lehana_bella_216202_reparation_0648938353,GONESSE 95500
6146,asenjo_herve_215326_reparation_0652843804,ETAMPES 91150
6147,qwider_192984_reparation_0756980001,GRANDE SYNTHE 59760
6148,planchais_matthias_133841_reparation_0770116704,LA BAZOUGE DES ALLEUX 53470
6149,bout_de_ficelle_8132_reparation_0475218580,DIE 26150
6150,mme_choy_helene_143282_reparation,LOURDES 65100
6151,hibou_dchiffons_font_font_159729_reparation_0680783452,LORMONT 33310
6152,mme_ehnis_maeva_222156_reparation_0629963953,SAINT-JEANNET 06640
6153,sebastien_simon_motoculture_177375_reparation_0604014658,ST JULIEN SUR SARTHE 61170
6154,m_hoare_andrew_162826_reparation_0549077677,LEZAY 79120
6155,de_brito_pinto_augusto_18281_reparation_0494341459_0622015928,SIX FOURS LES PLAGES 83140
6156,jura_meteorites_198266_reparation,TASSENIERES 39120
6157,la_cordonnerie_de_charly_55743_reparation_0320565346,VILLENEUVE D ASCQ 59491
6158,escalhorda_marietherese_106344_reparation_0382508514,GUENANGE 57310
6159,mme_pacquetet_nathalie_148674_reparation_0466820713,CAVILLARGUES 30330
6160,alasca_19962_reparation_0612986582,EMBRUN 05200
6161,eirl_potoczny_jean_jacques_175413_reparation_0677396603,SAINT JEAN D ANGELY 17400
6162,gourde_isabelle_117800_reparation_0675825024,LA BAULE 44500
6163,locquet_alain_et_denis_53982_reparation_0321554257,AMBRINES 62127
6164,brebion_jeanphilippe_69451_reparation_0698316978,BEAUPREAU EN MAUGES 49600
6165,roux_aurore_149277_reparation_0651873898,BAZIAN 32320
6166,madirepair_101994_reparation,LE LAMENTIN 97232
6167,ubaye_electromenager_177943_reparation,BARCELONNETTE 04400
6168,technicoffres_174807_reparation,BORDEAUX 33000
6169,t3m_148252_reparation,LAVAUR 81500
6170,wcouture_8440_reparation_0475553062,VALENCE 26000
6171,dengasc_jennifer_epse_cazot_143471_reparation_0685900026,RABASTENS 81800
6172,sylvie_morliere_154213_reparation,LOPERHET 29470
6173,ocmp_196549_reparation,BESANCON 25000
6174,encadrement_dart_service_203944_reparation_0670227377,GRENOBLE 38000
6175,depanlemieux_60748_reparation_0621800453,ROUTOT 27350
6176,les_doigts_de_fees_de_cath_187504_reparation_0608497205,BAS EN BASSET 43210
6177,kerneis_alexandre_138475_reparation,BEAUCHE 28270
6178,zone_dtm_52435_reparation_0670888900,ANNECY 74940
6179,fanny_feuillard_158147_reparation,DINARD 35800
6180,ressourcerie_courtcircuit_37998_sinoe_0555662411,FELLETIN 23500
6181,boris_decor_153489_reparation_0676283508,GUIDEL 56520
6182,mme_clop_dorothee_31930_reparation_0633506887,BEDOIN 84410
6183,cleanshoes_202757_reparation_0695677045,LYON 03 69003
6184,camaby__co_132326_reparation_0388765770,WASSELONNE 67310
6185,hateya_creations_113974_reparation_0618057327,VOUREY 38210
6186,clf_pro_215106_reparation,ARGENTEUIL 95100
6187,s_et_m_coutures_94042_reparation_0388381901,DORLISHEIM 67120
6188,les_vernissages_provencaux_14067_reparation,MARSEILLE-12E--ARRONDISSEMENT 13012
6189,mandigou_jeanluc_219381_reparation_0139886843,GOUSSAINVILLE 95190
6190,sas_europ_cles_149242_reparation,SAINT MATHIEU DE TREVIERS 34270
6191,chapus_hugo_137885_reparation,CHARTRES 28000
6192,trouver_le_temps_165207_reparation_0553936680,ISSIGEAC 24560
6193,latelier_15_62666_reparation_0631620901,VIF 38450
6194,cosmas_beckers_172150_reparation_0784251694,DEVILLAC 47210
6195,ppb_recyclage_149172_reparation,MAZAMET 81200
6196,jewelry_design__manufacturing_j_d__m_211720_reparation,PARIS 16 75016
6197,roussanne_technologies_177841_reparation,SOLLIES TOUCAS 83210
6198,de_col_alain_10605_reparation_0470598039,CHARMEIL 03110
6199,madame_thiery_emmanuelle_96602_reparation_0683806750,SUZANNECOURT 52300
6200,carnota_services_174413_reparation_0614960061,LE PALAIS SUR VIENNE 87410
6201,a_lheure_et_a_temps_14313_reparation_0662156296,LA BOUILLADISSE 13720
6202,mme_guillemenot_elise_148858_reparation,TARBES 65000
6203,bijouxcailloux___harmonie_reiki_52205_reparation_0662521519,ST CLAIR DU RHONE 38370
6204,anadesierck_133570_reparation_0642531010,VENISSIEUX 69200
6205,mme_warembourg_camille_179112_reparation_0618315226,LA MOTTE 83920
6206,faridssoncom_19477_reparation_0483125004,COGOLIN 83310
6207,coutellier_jeanluc_139182_reparation_0681069295,CHAON 41600
6208,stanniz_178265_reparation_0491266964,MARSEILLE--9E--ARRONDISSEMENT 13009
6209,jacquet_frederic_137138_reparation_0608667461,LA CHAPELLE AUX NAUX 37130
6210,lunivers_du_cycle_171042_reparation_0986313822,BIAS 47300
6211,maison_pasquier_la_bijouterie_des_f_154925_reparation_0689903567,FOUGERES 35300
6212,syseo_informatique_4776_reparation_0476170246,LANS EN VERCORS 38250
6213,dagot_cuir_156815_reparation_0650511679,GUIPRY-MESSAC 35480
6214,motoculture_des_plaines_109021_reparation_0493772512,CHATEAUNEUF GRASSE 06740
6215,mes_creartisanales_195412_reparation_0618890259,CAILLOUEL CREPIGNY 02300
6216,cycles_j_sybiac_164840_reparation_0962307302,GUITRES 33230
6217,bijoux_terrenoire_12749_reparation_0473330747,CHAMPS 63440
6218,aubert_patrice_125465_reparation,LE NEUBOURG 27110
6219,hessandersen_jon_138437_reparation,TROO 41800
6220,ratha_gowthaman_218956_reparation_0783114825,PARIS 18 75018
6221,m_dage_benoit_56926_reparation,BERCK 62600
6222,simone_106899_reparation_0474735902,OYONNAX 01100
6223,bizeul_emmanuelle_118491_reparation,LA CHAPELLE LAUNAY 44260
6224,ladeco__co_6601_reparation_0620982256,CALUIRE ET CUIRE 69300
6225,sauvageot_kevin_146957_reparation,VERFEIL SUR SEYE 82330
6226,armand_sabine_145986_reparation,MONTPELLIER 34000
6227,tresors_de_jade_58799_sinoe_0297059569,PLOEMEUR 56270
6228,sublon_aurelien_113572_reparation,ST GILLES CROIX DE VIE 85800
6229,decor_couture_173870_reparation,BORDEAUX 33800
6230,pro_et_cie_51900_reparation_0494542021,CAVALAIRE SUR MER 83240
6231,mme_khodazadeh_azam_182867_reparation,REIMS 51100
6232,eurl_jsc_198398_reparation,LE RUSSEY 25210
6233,vanessa_poncelet_15652_reparation_0695512851,PELISSANNE 13330
6234,danteuil_evelyne_110152_reparation_0243009590,MONTREUIL POULAY 53640
6235,bouton_arnaud_204535_reparation_0626308180,DERVAL 44590
6236,bijouterie_naessens_71386_reparation_0240510162,BESLE SUR VILAINE 44290
6237,pomarede_sylvain_191019_reparation_0553071841,CORNILLE 24750
6238,la_boutique_creananie_178224_reparation_0618634749,VENCE 06140
6239,sarl_amestoy_163074_reparation_0675661728,BIARRITZ 64200
6240,lusine_125418_reparation,CAEN 14000
6241,vivre_a_la_campagne_184644_reparation_0233484338,LESSAY 50430
6242,hbb6_67986_reparation,ST GILLES CROIX DE VIE 85800
6243,ent_le_professionnel_du_piano_121469_reparation_0235950701,STE MARIE DES CHAMPS 76190
6244,m_mas_romain_124622_reparation,MESNIL ST PERE 10140
6245,au_fil_de_margot_118271_reparation_0661486887,DONZERE 26290
6246,m_chapot_alain_196214_reparation_0385510672,MANCEY 71240
6247,galpin_emmanuel_69760_reparation,TUFFE VAL DE LA CHERONNE 72160
6248,pietrelle_jean_jacques_180630_reparation_0663079004,LE CASTELLET 83330
6249,duban_anne_136140_reparation,LA FERTE ST CYR 41220
6250,diagne_couture_217709_reparation,PARIS 18 75018
6251,monin_eric_211880_reparation,PARIS 01 75001
6252,atelier_christine_couture_les_filateries_3357_reparation_0450027174,ANNECY 74000
6253,m_de_castelbajac_bernard_140765_reparation,BARBAZAN DEBAT 65690
6254,m_calais_jerome_58598_reparation,NEUVILLE COPPEGUEULE 80430
6255,ramos_sebastien_152070_reparation_0536120048,SAINT-JEAN-DU-FALGA 09100
6256,societe_electricite_vente_application_11177_reparation_0471637975,CASSANIOUZE 15340
6257,ares_jeanpierre_1815_reparation_0450346285,MARIGNIER 74970
6258,netexpose_17230_reparation,BIOT 06410
6259,le_geant_du_meuble_211833_reparation_0169480181,YERRES 91330
6260,hautes_vibrations_199178_reparation_0783438091,MARNAY 71240
6261,sarl_multi_media_conseil_108565_reparation_0492186120,MOUGINS 06250
6262,mirgaudou_francois_191693_reparation_0630132425,LARUNS 64440
6263,acube_192643_reparation_0753316625,PONT STE MAXENCE 60700
6264,eurl_cocagne_affutage_148131_reparation_0626569552,SOUAL 81580
6265,guedj_olivier_215591_reparation_0679190932,PARIS 16 75116
6266,multiservices_durel_187465_reparation_0473336771,CHARBONNIERES LES VARENNES 63410
6267,dibelo_design_186179_reparation,MARMOUTIER 67440
6268,sav_16_160749_reparation_0545682527,L ISLE D ESPAGNAC 16340
6269,philippe_raubiet_194694_reparation_0620789059,ROUBAIX 59100
6270,borsaline_laurence_150576_reparation_0618620793,RAMONVILLE-ST-AGNE 31520
6271,beaujouan_laura_137244_reparation,CINQ MARS LA PILE 37130
6272,net_et_bien_124508_reparation_0325809024,TROYES 10000
6273,m_blot_william_147508_reparation_0660343082,SAINT NAZAIRE 30200
6274,cordonnerie_cles_160109_reparation_0612027932,MONSEMPRON LIBOS 47500
6275,hardy_viviane_69910_reparation_0243620791,PARCE SUR SARTHE 72300
6276,fusion_171340_reparation,ORTHEVIELLE 40300
6277,m_surmin_remy_123755_reparation,DAMELEVIERES 54360
6278,bance_marie_helene_139041_reparation_0981494549,MONTEREAU 45260
6279,fees_mains_177174_reparation_0610887970,VAL-AU-PERCHE 61260
6280,lestits_bijoux_171538_reparation,AYTRE 17440
6281,machowski_harald_alfred_martin_141671_reparation,FONDAMENTE 12540
6282,point_c_161100_reparation_0549554593,POITIERS 86000
6283,thibaut_lauvergne_4609_reparation_0617812891,LYON 01 69001
6284,mm_picca_jehanlouis_180731_reparation,CAMARET SUR AIGUES 84850
6285,diamantor_mandelieu_145435_reparation_0685217414,NIMES 30000
6286,retouches_78_212741_reparation_0642848177,PARIS 11 75011
6287,pierre_marinette_142490_reparation_0467470683,SAUSSAN 34570
6288,forgeot_thierry_195865_reparation,AUMONT 39800
6289,dg_menuiserie_216591_reparation,NANTOUILLET 77230
6290,gehin_thierry_165266_reparation_0553311972,CARSAC AILLAC 24200
6291,sarl_coustenoble_azur_108453_reparation,NICE 06000
6292,service_funeraire_catalan_140855_reparation,PIA 66380
6293,afitech_181559_reparation,LA TRINITE 06340
6294,cannel_breiz_154270_reparation_0768630652,GUIPRY-MESSAC 35480
6295,m_czepulkowski_nicolas_106740_reparation,REIMS 51100
6296,vert__pierre_33585_reparation_0473525376,BIOLLET 63640
6297,m_lacoche_anthony_124896_reparation,THAON LES VOSGES 88150
6298,nathatelier_15157_reparation_0609383505,AIX EN PROVENCE 13100
6299,m_beaumont_thierry_203066_reparation_0382231617,LONGWY 54400
6300,hoppglover_laurent_211300_reparation_0632549407,PANTIN 93500
6301,don_et_vilaine_informatique_70723_reparation,BESLE SUR VILAINE 44290
6302,fonderie_sylvain_compagnon_208942_reparation_0134719828,CHAUMONTEL 95270
6303,pasco_frederique_100075_reparation,LA RENAUDIERE 49450
6304,le_coquelicot_bleu_3652_reparation_0671020604,MARCELLAZ-ALBANAIS 74150
6305,blanchard_moteurs_electriques_134991_reparation_0237284379,CHARTRES 28000
6306,mme_charlot_jennifer_56548_reparation_0321048658,HAUTECLOQUE 62130
6307,atelier_de_peinture_dominique_arsaut_159507_reparation,ST PALAIS 64120
6308,tch_soudure_171181_reparation_0553688673,SEMBAS 47360
6309,taurand_anthony_218475_reparation_0761536858,VERT SAINT DENIS 77240
6310,societe_meb_141647_reparation,ST GERME 32400
6311,polosson_damien_150627_reparation_0611712214,SAINT-ORENS-DE-GAMEVILLE 31650
6312,montec_212999_reparation,NEUILLY PLAISANCE 93360
6313,tisseyre_elisa_222852_reparation_0667882378,LAVARS 38710
6314,fermetures_industrielles_rhonea_6252_reparation_0474924629,VEZERONCE CURTIN 38510
6315,jg_meca_service_185860_reparation_0652406365,WINTZENBACH 67470
6316,la_taillerie_198214_reparation_0384331833,BELLEFONTAINE 39400
6317,ma2ip_8636_reparation_0608257485,LE VERSOUD 38420
6318,mr_guerineau_gaetan_167982_reparation_0546875689,BEAUGEAY 17620
6319,claire_de_lub_179825_reparation_0662554166,MERINDOL 84360
6320,tele_video_du_gatinais_134997_reparation_0238850406,MONTARGIS 45200
6321,papotes_et_patines_156593_reparation_0609744432,PAIMPOL 22500
6322,ossau_agencement_173300_reparation,GAN 64290
6323,m_genesta_pascal_205579_reparation,LES PENNES-MIRABEAU 13170
6324,comparato_olivier_165673_reparation_0637625922,LE BARP 33114
6325,tahiti_iti_crea_173285_reparation_0783171156,SAINT SULPICE LE DUNOIS 23800
6326,ebenisterie_marqueterie_chavey_bruno_195982_reparation_0384291075,EVETTE SALBERT 90350
6327,mme_teissier_sandrine_151080_reparation_0661475477,LEDIGNAN 30350
6328,alexandre_sicardbike_addict_113863_reparation_0683278973,COMBLOUX 74920
6329,comte_eric_171654_reparation_0631658995,AVENSAN 33480
6330,pitchtrou_109165_reparation_0675383095,BARBENTANE 13570
6331,reve_dun_jour_120197_reparation,NICE 06100
6332,mes_ptits_zabits_33748_reparation_0680506194,BEAUCROISSANT 38140
6333,m_michel_pascal_221506_reparation_0699575411,AUDUN LE ROMAN 54560
6334,pruniaux_bijoutiers_148041_reparation_0467982139,PEZENAS 34120
6335,malingrey_philippe_137310_reparation_0248267359,HENRICHEMONT 18250
6336,mme_carre_brigitte_101100_reparation,BURY 60250
